No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
28,Layout,Prefer LazyColumn over Column scroll,Lazy layouts are virtualized and efficient,LazyColumn,Column.verticalScroll(),Lazy list,Scrollable Column,High,https://developer.android.com/jetpack/compose/lists
29,Layout,Avoid nested scroll containers,Nested scrolling causes UX & performance issues,Single scroll container,Scroll inside scroll,One scroll per screen,Nested scroll,High,
30,Layout,Avoid fillMaxSize by default,fillMaxSize may break parent constraints,Use exact size,Fill max everywhere,Constraint-aware size,Overfilled layout,Medium,
31,Layout,Avoid intrinsic size unless necessary,Intrinsic measurement is expensive,Explicit sizing,IntrinsicSize.Min,Predictable layout,Expensive measure,High,https://developer.android.com/jetpack/compose/layout/intrinsics
32,Layout,Use Arrangement and Alignment APIs,Declare layout intent explicitly,Use Arrangement / Alignment,Manual spacing hacks,Declarative spacing,Magic spacing,High,
33,Layout,Extract reusable layout patterns,Repeated layouts should be shared,Create layout composable,Copy-paste layouts,Reusable scaffold,Duplicated layout,High,
34,Theming,No hardcoded text style,Use typography,MaterialTheme.typography,Hardcode sp,Scalable,Inconsistent,Medium,
35,Testing,Stateless UI testing,Composable easy to test,Pass state,Hidden state,Testable,Hard test,High,https://developer.android.com/jetpack/compose/testing
36,Testing,Use testTag,Stable UI selectors,Modifier.testTag,Find by text,Stable tests,Flaky tests,Medium,
37,Preview,Multiple previews,Preview multiple states,@Preview,Single preview,Better dev UX,Misleading,Low,https://developer.android.com/jetpack/compose/tooling/preview
38,DI,Inject VM via Hilt,Use hiltViewModel,@HiltViewModel,Manual VM,Clean DI,Coupling,High,https://developer.android.com/training/dependency-injection/hilt-jetpack
39,DI,No DI in UI,Inject in VM,Constructor inject,Inject composable,Proper scope,Wrong scope,High,
40,Accessibility,Content description,Accessible UI,contentDescription,Ignore a11y,Inclusive,A11y fail,Medium,https://developer.android.com/jetpack/compose/accessibility
41,Accessibility,Semantics,Use semantics API,Modifier.semantics,None,Testable a11y,Invisible,Medium,
42,Animation,Compose animation APIs,Use animate*AsState,AnimatedVisibility,Manual anim,Smooth,Jank,Medium,https://developer.android.com/jetpack/compose/animation
43,Animation,Avoid animation logic in VM,Animation is UI concern,Animate in UI,Animate in VM,Correct layering,Mixed concern,Low,
44,Modularization,Feature-based UI modules,UI per feature,:feature:ui,God module,Scalable,Tight coupling,High,https://developer.android.com/topic/modularization
45,Modularization,Public UI contracts,Expose minimal UI API,Interface/Route,Expose impl,Encapsulated,Leaky module,Medium,
46,State,Snapshot state only,Use Compose state,mutableStateOf,Custom observable,Compose aware,Buggy UI,Medium,
47,State,Avoid mutable collections,Immutable list/map,PersistentList,MutableList,Stable UI,Silent bug,High,
48,Lifecycle,RememberCoroutineScope usage,Only for UI jobs,UI coroutine,Long jobs,Scoped job,Leak,Medium,https://developer.android.com/jetpack/compose/side-effects#remembercoroutinescope
49,Interop,Interop View carefully,Use AndroidView,Isolated usage,Mix everywhere,Safe interop,Messy UI,Low,https://developer.android.com/jetpack/compose/interop
50,Interop,Avoid legacy patterns,No LiveData in UI,StateFlow,LiveData,Modern stack,Legacy debt,Medium,
51,Debug,Use layout inspector,Inspect recomposition,Tools,Blind debug,Fast debug,Guessing,Low,https://developer.android.com/studio/debug/layout-inspector
52,Debug,Enable recomposition counts,Track recomposition,Debug flags,Ignore,Performance aware,Hidden jank,Low,
53,Material 3,Dynamic color with fallback,Material You derives palettes from wallpaper on Android 12+,dynamicLightColorScheme(context)/dynamicDarkColorScheme with brand fallback below S,One hardcoded scheme ignoring dynamic color,if (SDK >= S) dynamicLightColorScheme(ctx) else LightColors,Brand-only colorScheme with no dynamic path,Medium,https://developer.android.com/develop/ui/compose/designsystems/material3#dynamic_color_schemes
54,Material 3,Predictive back support,Android 13+ previews the back destination during the gesture,Opt in via android:enableOnBackInvokedCallback and PredictiveBackHandler,Intercepting back with legacy onBackPressed everywhere,PredictiveBackHandler { progress -> animate(progress) },Blocking system back so the preview never renders,High,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
55,Material 3,WindowInsets and imePadding,"Edge-to-edge apps must handle status, nav, and keyboard insets","Modifier.imePadding(), .systemBarsPadding(), Scaffold contentWindowInsets",Fixed paddings guessing at bar heights,TextField(modifier = Modifier.imePadding()),Bottom-anchored input hidden behind the keyboard,High,https://developer.android.com/develop/ui/compose/layouts/insets
56,Material 3,AnimatedContent for state swaps,Content changes should animate with directional meaning,AnimatedContent with a transitionSpec matching navigation direction,Instant recomposition snap between states,AnimatedContent(targetState = tab) { ... },if/else branch swap with no transition,Medium,https://developer.android.com/develop/ui/compose/animation/composables-modifiers#animatedcontent
57,Material 3,SharedTransitionLayout heroes,Shared-element transitions carry items between screens,SharedTransitionLayout + Modifier.sharedElement in both destinations,Cross-fade between visually related screens,"sharedElement(rememberSharedContentState(key = id), this)",List-to-detail with unrelated fade,Medium,https://developer.android.com/develop/ui/compose/animation/shared-elements
58,Material 3,PullToRefreshBox for refresh,Material 3 pull-to-refresh with indicator is the platform pattern,"PullToRefreshBox(isRefreshing, onRefresh) wrapping the list",Custom drag detection faking refresh,"PullToRefreshBox(isRefreshing = loading, onRefresh = ::reload)",Hand-rolled swipe listener with a spinner overlay,Medium,https://developer.android.com/reference/kotlin/androidx/compose/material3/pulltorefresh/package-summary
59,Material 3,Edge-to-edge by default,Android 15 targets enforce edge-to-edge; design for it now,enableEdgeToEdge() in the Activity plus inset-aware composables,Opaque system bars carving the app into a letterbox,enableEdgeToEdge(); Scaffold handles insets,Fixed-color status bar blocking content draw,Medium,https://developer.android.com/develop/ui/compose/layouts/insets#edge-to-edge
60,Material 3,Haptics via LocalHapticFeedback,Confirmations and long-presses deserve haptic response,LocalHapticFeedback.current.performHapticFeedback(HapticFeedbackType.LongPress),Haptics on every recomposition or none at all,haptic.performHapticFeedback(HapticFeedbackType.LongPress),Vibrator service calls from composables,Low,https://developer.android.com/reference/kotlin/androidx/compose/ui/hapticfeedback/HapticFeedback
61,Material 3,ModalBottomSheet for choices,Bottom sheets are the Material idiom for contextual choices on phones,ModalBottomSheet(sheetState) with dragHandle for option sets,Centered AlertDialog for pick-one lists,ModalBottomSheet(onDismissRequest = close) { options },Dialog with a long RadioButton column,Medium,https://developer.android.com/develop/ui/compose/components/bottom-sheets
62,Material 3,"SnackbarHost, not Toast","Snackbars scope to the Scaffold, support actions, and respect insets",SnackbarHost(hostState) in Scaffold; showSnackbar with action,Toast for in-app feedback,"scope.launch { snackbarHostState.showSnackbar(""Saved"", actionLabel = ""Undo"") }",Toast.makeText for undoable actions,Medium,https://developer.android.com/develop/ui/compose/components/snackbar
63,Material 3,Stable keys in LazyColumn,Keys preserve identity for item animations and scroll position,"items(list, key = { it.id }) with animateItem modifiers",Index-derived identity breaking animations on reorder,"items(items = rows, key = { it.id }) { Row(Modifier.animateItem()) }",items(rows.size) { i -> ... } reordering artifacts,High,https://developer.android.com/develop/ui/compose/lists#item-keys
64,Material 3,Tonal elevation over shadows,"Material 3 surfaces elevate by tonal color, not just drop shadow",Surface(tonalElevation = 3.dp) using the elevation scale,Ad-hoc shadow dp values per card,"Surface(tonalElevation = 3.dp, shadowElevation = 1.dp)",Random elevation(8.dp) shadows on flat surfaces,Medium,https://developer.android.com/develop/ui/compose/designsystems/material3#elevation
